sugar_level,ph_level,alcohol_level,fixed acidity,volatile acidity,citric acid,chlorides,free sulfur dioxide,total sulfur dioxide,density,sulphates,class
2.5 - 3.0,3.25 - 3.50,9.5 - 10.0,8.0,0.725,0.24,0.083,10.0,62.0,0.99685,0.56,high
2.0 - 2.5,3.00 - 3.25,10.0 - 10.5,11.6,0.44,0.64,0.059000000000000004,5.0,15.0,0.998,0.67,high
2.0 - 2.5,3.25 - 3.50,10.0 - 10.5,8.2,0.57,0.26,0.06,28.0,65.0,0.9959,0.43,low
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,7.8,0.735,0.08,0.092,10.0,41.0,0.9974,0.71,high
> 3.0,3.25 - 3.50,10.0 - 10.5,7.0,0.49,0.49,0.06,26.0,121.0,0.9974,0.76,low
1.5 - 2.0,3.00 - 3.25,10.5 - 11.0,8.7,0.625,0.16,0.10099999999999999,13.0,49.0,0.9962,0.57,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,8.1,0.725,0.22,0.07200000000000001,11.0,41.0,0.9967,0.55,low
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,7.5,0.49,0.19,0.076,10.0,44.0,0.9957,0.54,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,7.8,0.53,0.33,0.08,24.0,144.0,0.99655,0.6,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.8,0.34,0.37,0.08199999999999999,24.0,58.0,0.9964,0.59,high
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,7.4,0.53,0.26,0.10099999999999999,16.0,72.0,0.9957,0.57,low
<= 1.5,3.25 - 3.50,9.0 - 9.5,6.8,0.61,0.04,0.057,5.0,10.0,0.99525,0.6,low
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,8.6,0.645,0.25,0.083,8.0,28.0,0.99815,0.6,high
1.5 - 2.0,3.25 - 3.50,10.0 - 10.5,8.4,0.635,0.36,0.08900000000000001,15.0,55.0,0.99745,0.57,low
2.5 - 3.0,3.25 - 3.50,10.0 - 10.5,7.7,0.43,0.25,0.073,29.0,63.0,0.99615,0.58,high
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,8.9,0.59,0.5,0.337,27.0,81.0,0.9964,1.61,high
2.5 - 3.0,3.25 - 3.50,9.5 - 10.0,9.0,0.82,0.14,0.08900000000000001,9.0,23.0,0.9984,0.63,low
2.5 - 3.0,3.25 - 3.50,10.0 - 10.5,7.7,0.43,0.25,0.073,29.0,63.0,0.99615,0.58,high
2.5 - 3.0,3.25 - 3.50,10.5 - 11.0,6.9,0.52,0.25,0.081,10.0,37.0,0.99685,0.5,low
1.5 - 2.0,3.50 - 3.75,> 12.0,5.2,0.48,0.04,0.054000000000000006,19.0,106.0,0.9927,0.62,high
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,8.0,0.38,0.06,0.078,12.0,49.0,0.99625,0.52,high
2.5 - 3.0,3.25 - 3.50,9.5 - 10.0,8.5,0.37,0.2,0.09,18.0,58.0,0.998,0.7,high
2.5 - 3.0,3.25 - 3.50,10.5 - 11.0,6.9,0.52,0.25,0.081,10.0,37.0,0.99685,0.5,low
2.0 - 2.5,3.25 - 3.50,<= 9.0,8.2,1.0,0.09,0.065,7.0,37.0,0.99685,0.55,high
1.5 - 2.0,3.25 - 3.50,<= 9.0,7.2,0.63,0.0,0.09699999999999999,14.0,38.0,0.99675,0.58,high
1.5 - 2.0,3.25 - 3.50,<= 9.0,7.2,0.63,0.0,0.09699999999999999,14.0,38.0,0.99675,0.58,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.2,0.645,0.0,0.09699999999999999,15.0,39.0,0.99675,0.58,high
1.5 - 2.0,3.25 - 3.50,<= 9.0,7.2,0.63,0.0,0.09699999999999999,14.0,38.0,0.99675,0.58,high
2.0 - 2.5,3.25 - 3.50,<= 9.0,8.2,1.0,0.09,0.065,7.0,37.0,0.99685,0.55,high
1.5 - 2.0,2.74 - 3.00,9.0 - 9.5,8.9,0.635,0.37,0.263,5.0,62.0,0.9971,1.09,low
2.0 - 2.5,3.00 - 3.25,10.5 - 11.0,12.0,0.38,0.56,0.09300000000000001,6.0,24.0,0.99925,0.71,high
1.5 - 2.0,3.00 - 3.25,9.5 - 10.0,7.7,0.58,0.1,0.102,28.0,109.0,0.99565,0.49,high
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,15.0,0.21,0.44,0.075,10.0,24.0,1.00005,0.84,high
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,15.0,0.21,0.44,0.075,10.0,24.0,1.00005,0.84,high
1.5 - 2.0,3.50 - 3.75,9.5 - 10.0,7.3,0.66,0.0,0.084,6.0,23.0,0.9983,0.96,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.1,0.68,0.07,0.075,16.0,51.0,0.99685,0.52,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,8.2,0.6,0.17,0.07200000000000001,11.0,73.0,0.9963,0.45,low
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,7.7,0.53,0.06,0.07400000000000001,9.0,39.0,0.99615,0.48,high
1.5 - 2.0,3.50 - 3.75,9.5 - 10.0,7.3,0.66,0.0,0.084,6.0,23.0,0.9983,0.96,high
1.5 - 2.0,3.00 - 3.25,9.5 - 10.0,10.8,0.32,0.44,0.063,16.0,37.0,0.9985,0.78,high
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,7.1,0.6,0.0,0.07400000000000001,16.0,34.0,0.9972,0.7,high
> 3.0,3.00 - 3.25,10.0 - 10.5,11.1,0.35,0.48,0.09,5.0,21.0,0.9986,0.53,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,7.7,0.775,0.42,0.092,8.0,86.0,0.9959,0.59,low
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,7.1,0.6,0.0,0.07400000000000001,16.0,34.0,0.9972,0.7,high
> 3.0,3.25 - 3.50,9.0 - 9.5,8.0,0.57,0.23,0.073,17.0,119.0,0.99675,0.57,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,9.4,0.34,0.37,0.075,5.0,13.0,0.998,0.62,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,6.6,0.695,0.0,0.075,12.0,56.0,0.9968,0.67,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,7.7,0.41,0.76,0.611,8.0,45.0,0.9968,1.26,low
2.5 - 3.0,3.25 - 3.50,10.0 - 10.5,10.0,0.31,0.47,0.085,14.0,33.0,0.99965,0.8,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.9,0.33,0.23,0.077,18.0,45.0,0.99625,0.65,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.0,0.975,0.04,0.087,12.0,67.0,0.99565,0.6,low
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,8.0,0.52,0.03,0.07,10.0,35.0,0.99575,0.57,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.9,0.37,0.23,0.077,23.0,49.0,0.9963,0.67,low
2.0 - 2.5,3.00 - 3.25,10.5 - 11.0,12.5,0.56,0.49,0.064,5.0,27.0,0.9999,0.87,low
1.5 - 2.0,3.00 - 3.25,10.0 - 10.5,11.8,0.26,0.52,0.071,6.0,10.0,0.9968,0.72,high
> 3.0,3.50 - 3.75,9.5 - 10.0,8.1,0.87,0.0,0.096,26.0,61.0,1.00025,0.72,low
> 3.0,3.25 - 3.50,> 12.0,7.9,0.35,0.46,0.078,15.0,37.0,0.9973,0.86,high
2.5 - 3.0,3.50 - 3.75,9.0 - 9.5,6.9,0.54,0.04,0.077,7.0,27.0,0.9987,0.91,high
> 3.0,3.25 - 3.50,10.0 - 10.5,11.5,0.18,0.51,0.10400000000000001,4.0,23.0,0.9996,0.97,high
> 3.0,3.25 - 3.50,10.5 - 11.0,7.9,0.545,0.06,0.087,27.0,61.0,0.9965,0.67,high
> 3.0,3.25 - 3.50,10.0 - 10.5,11.5,0.18,0.51,0.10400000000000001,4.0,23.0,0.9996,0.97,high
> 3.0,3.00 - 3.25,10.0 - 10.5,10.9,0.37,0.58,0.071,17.0,65.0,0.99935,0.78,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,8.4,0.715,0.2,0.076,10.0,38.0,0.99735,0.64,low
> 3.0,3.25 - 3.50,9.0 - 9.5,7.5,0.65,0.18,0.08800000000000001,27.0,94.0,0.99915,0.77,low
> 3.0,3.25 - 3.50,10.5 - 11.0,7.9,0.545,0.06,0.087,27.0,61.0,0.9965,0.67,high
2.5 - 3.0,3.50 - 3.75,9.0 - 9.5,6.9,0.54,0.04,0.077,7.0,27.0,0.9987,0.91,high
> 3.0,3.25 - 3.50,10.0 - 10.5,11.5,0.18,0.51,0.10400000000000001,4.0,23.0,0.9996,0.97,high
> 3.0,3.00 - 3.25,> 12.0,10.3,0.32,0.45,0.073,5.0,13.0,0.9976,0.82,high
> 3.0,3.25 - 3.50,10.0 - 10.5,8.9,0.4,0.32,0.087,10.0,47.0,0.9991,0.77,high
> 3.0,3.00 - 3.25,9.0 - 9.5,11.4,0.26,0.44,0.071,6.0,19.0,0.9986,0.82,high
> 3.0,3.00 - 3.25,9.5 - 10.0,7.7,0.27,0.68,0.358,5.0,10.0,0.9972,1.08,high
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,7.6,0.52,0.12,0.067,12.0,53.0,0.9971,0.57,low
> 3.0,3.25 - 3.50,10.0 - 10.5,8.9,0.4,0.32,0.087,10.0,47.0,0.9991,0.77,high
> 3.0,3.25 - 3.50,9.5 - 10.0,9.9,0.59,0.07,0.102,32.0,71.0,1.00015,0.71,low
> 3.0,3.25 - 3.50,9.5 - 10.0,9.9,0.59,0.07,0.102,32.0,71.0,1.00015,0.71,low
1.5 - 2.0,3.00 - 3.25,10.0 - 10.5,12.0,0.45,0.55,0.073,25.0,49.0,0.9997,0.76,high
2.5 - 3.0,3.25 - 3.50,10.0 - 10.5,7.5,0.4,0.12,0.092,29.0,53.0,0.9967,0.7,high
2.0 - 2.5,3.25 - 3.50,10.5 - 11.0,8.7,0.52,0.09,0.091,20.0,49.0,0.9976,0.86,high
> 3.0,3.00 - 3.25,9.0 - 9.5,11.6,0.42,0.53,0.105,33.0,98.0,1.001,0.95,low
2.0 - 2.5,3.25 - 3.50,10.5 - 11.0,8.7,0.52,0.09,0.091,20.0,49.0,0.9976,0.86,high
1.5 - 2.0,3.25 - 3.50,10.0 - 10.5,11.0,0.2,0.48,0.34299999999999997,6.0,18.0,0.9979,0.71,low
2.5 - 3.0,3.00 - 3.25,10.0 - 10.5,10.4,0.55,0.23,0.091,18.0,48.0,0.9994,0.64,high
2.0 - 2.5,3.25 - 3.50,10.0 - 10.5,6.9,0.36,0.25,0.098,5.0,16.0,0.9964,0.6,high
> 3.0,3.00 - 3.25,9.0 - 9.5,13.3,0.34,0.52,0.094,17.0,53.0,1.0014,0.81,high
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,10.8,0.5,0.46,0.073,5.0,27.0,1.0001,0.64,low
2.5 - 3.0,3.00 - 3.25,9.5 - 10.0,10.6,0.83,0.37,0.086,26.0,70.0,0.9981,0.52,low
1.5 - 2.0,3.50 - 3.75,9.5 - 10.0,7.1,0.63,0.06,0.083,8.0,29.0,0.99855,0.73,low
2.0 - 2.5,3.50 - 3.75,9.5 - 10.0,7.2,0.65,0.02,0.094,5.0,31.0,0.9993,0.8,low
2.0 - 2.5,3.50 - 3.75,9.5 - 10.0,6.9,0.67,0.06,0.08,8.0,33.0,0.99845,0.71,low
2.5 - 3.0,3.25 - 3.50,10.5 - 11.0,7.5,0.53,0.06,0.086,20.0,44.0,0.9965,0.59,high
<= 1.5,3.00 - 3.25,10.0 - 10.5,11.1,0.18,0.48,0.068,7.0,15.0,0.9973,0.64,high
2.5 - 3.0,3.50 - 3.75,9.5 - 10.0,8.3,0.705,0.12,0.092,12.0,28.0,0.9994,0.72,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.4,0.67,0.12,0.18600000000000003,5.0,21.0,0.996,0.54,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,8.4,0.65,0.6,0.11199999999999999,12.0,90.0,0.9973,0.52,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,10.3,0.53,0.48,0.063,6.0,25.0,0.9998,0.59,high
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,7.6,0.62,0.32,0.08199999999999999,7.0,54.0,0.9966,0.52,low
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,10.3,0.41,0.42,0.213,6.0,14.0,0.9994,0.62,high
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,10.3,0.43,0.44,0.214,5.0,12.0,0.9994,0.63,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.4,0.29,0.38,0.062,9.0,30.0,0.9968,0.53,high
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,10.3,0.53,0.48,0.063,6.0,25.0,0.9998,0.59,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.9,0.53,0.24,0.07200000000000001,15.0,105.0,0.996,0.54,high
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,9.0,0.46,0.31,0.09300000000000001,19.0,98.0,0.99815,0.63,high
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,8.6,0.47,0.3,0.076,30.0,135.0,0.9976,0.53,low
2.5 - 3.0,3.25 - 3.50,10.5 - 11.0,7.4,0.36,0.29,0.087,26.0,72.0,0.99645,0.68,low
2.0 - 2.5,3.25 - 3.50,10.5 - 11.0,7.1,0.35,0.29,0.096,20.0,53.0,0.9962,0.65,high
> 3.0,3.25 - 3.50,10.0 - 10.5,9.6,0.56,0.23,0.102,37.0,92.0,0.9996,0.65,low
2.5 - 3.0,3.25 - 3.50,10.0 - 10.5,9.6,0.77,0.12,0.08199999999999999,30.0,74.0,0.99865,0.64,high
> 3.0,3.25 - 3.50,11.0 - 11.5,9.8,0.66,0.39,0.083,21.0,59.0,0.9989,0.71,high
2.5 - 3.0,3.25 - 3.50,10.0 - 10.5,9.6,0.77,0.12,0.08199999999999999,30.0,74.0,0.99865,0.64,high
> 3.0,3.25 - 3.50,11.0 - 11.5,9.8,0.66,0.39,0.083,21.0,59.0,0.9989,0.71,high
> 3.0,3.00 - 3.25,9.5 - 10.0,9.3,0.61,0.26,0.09,25.0,87.0,0.99975,0.62,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,7.8,0.62,0.05,0.079,6.0,18.0,0.99735,0.63,low
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,10.3,0.59,0.42,0.09,35.0,73.0,0.9990000000000001,0.7,high
> 3.0,3.00 - 3.25,9.0 - 9.5,10.0,0.49,0.2,0.071,13.0,50.0,1.0015,0.69,high
> 3.0,3.00 - 3.25,9.0 - 9.5,10.0,0.49,0.2,0.071,13.0,50.0,1.0015,0.69,high
> 3.0,3.00 - 3.25,11.0 - 11.5,11.6,0.53,0.66,0.121,6.0,14.0,0.9978,0.74,high
> 3.0,3.25 - 3.50,11.0 - 11.5,10.3,0.44,0.5,0.107,5.0,13.0,0.998,0.83,low
2.5 - 3.0,3.00 - 3.25,9.5 - 10.0,13.4,0.27,0.62,0.08199999999999999,6.0,21.0,1.0002,0.67,high
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,10.7,0.46,0.39,0.061,7.0,15.0,0.9981,0.62,low
2.5 - 3.0,3.00 - 3.25,> 12.0,10.2,0.36,0.64,0.122,10.0,41.0,0.998,0.66,high
2.5 - 3.0,3.00 - 3.25,> 12.0,10.2,0.36,0.64,0.122,10.0,41.0,0.998,0.66,high
> 3.0,3.00 - 3.25,9.0 - 9.5,8.0,0.58,0.28,0.066,21.0,114.0,0.9973,0.54,high
2.0 - 2.5,3.00 - 3.25,10.5 - 11.0,8.4,0.56,0.08,0.105,16.0,44.0,0.9958,0.52,low
2.0 - 2.5,3.25 - 3.50,11.5 - 12.0,7.9,0.65,0.01,0.078,17.0,38.0,0.9963,0.74,high
> 3.0,3.00 - 3.25,> 12.0,11.9,0.695,0.53,0.128,7.0,21.0,0.9992,0.84,high
1.5 - 2.0,3.25 - 3.50,> 12.0,8.9,0.43,0.45,0.052000000000000005,6.0,16.0,0.9948,0.7,high
2.5 - 3.0,3.25 - 3.50,10.0 - 10.5,7.8,0.43,0.32,0.08,29.0,58.0,0.9974,0.64,low
2.5 - 3.0,3.00 - 3.25,11.0 - 11.5,12.4,0.49,0.58,0.10300000000000001,28.0,99.0,1.0008,1.0,high
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,12.5,0.28,0.54,0.08199999999999999,12.0,29.0,0.9997,1.36,high
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,12.2,0.34,0.5,0.066,10.0,21.0,1.0,1.18,high
2.5 - 3.0,3.00 - 3.25,11.0 - 11.5,10.6,0.42,0.48,0.065,5.0,18.0,0.9972,0.87,high
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,10.9,0.39,0.47,0.11800000000000001,6.0,14.0,0.9982,0.75,high
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,10.9,0.39,0.47,0.11800000000000001,6.0,14.0,0.9982,0.75,high
2.5 - 3.0,3.00 - 3.25,10.5 - 11.0,11.9,0.57,0.5,0.08199999999999999,6.0,32.0,1.0006,0.78,high
1.5 - 2.0,3.50 - 3.75,9.5 - 10.0,7.0,0.685,0.0,0.067,40.0,63.0,0.9979,0.81,low
2.5 - 3.0,3.50 - 3.75,> 12.0,6.6,0.815,0.02,0.07200000000000001,17.0,34.0,0.9955,0.89,high
2.5 - 3.0,3.00 - 3.25,11.5 - 12.0,13.8,0.49,0.67,0.09300000000000001,6.0,15.0,0.9986,0.93,high
2.5 - 3.0,3.00 - 3.25,9.5 - 10.0,9.6,0.56,0.31,0.08900000000000001,15.0,46.0,0.9979,0.92,high
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,9.1,0.785,0.0,0.09300000000000001,11.0,28.0,0.9994,0.86,high
2.5 - 3.0,3.25 - 3.50,9.5 - 10.0,10.7,0.67,0.22,0.107,17.0,34.0,1.0004,0.98,high
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,9.1,0.795,0.0,0.096,11.0,26.0,0.9994,0.83,high
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,7.7,0.665,0.0,0.09,8.0,19.0,0.9974,0.73,low
> 3.0,3.00 - 3.25,> 12.0,13.5,0.53,0.79,0.12,23.0,77.0,1.0018,0.77,low
<= 1.5,3.00 - 3.25,11.5 - 12.0,6.1,0.21,0.4,0.066,40.5,165.0,0.9912,0.59,high
2.0 - 2.5,3.50 - 3.75,> 12.0,6.7,0.75,0.01,0.078,17.0,32.0,0.9955,0.61,high
2.5 - 3.0,3.25 - 3.50,10.5 - 11.0,11.5,0.41,0.52,0.08,29.0,55.0,1.0001,0.88,low
2.5 - 3.0,3.00 - 3.25,11.5 - 12.0,10.5,0.42,0.66,0.11599999999999999,12.0,29.0,0.997,0.75,high
> 3.0,3.00 - 3.25,10.0 - 10.5,11.9,0.43,0.66,0.109,10.0,23.0,1.0,0.85,high
2.5 - 3.0,3.00 - 3.25,9.5 - 10.0,12.6,0.38,0.66,0.08800000000000001,10.0,41.0,1.001,0.68,high
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,8.2,0.7,0.23,0.099,14.0,81.0,0.9973,0.7,low
2.5 - 3.0,3.25 - 3.50,9.5 - 10.0,8.6,0.45,0.31,0.086,21.0,50.0,0.9982,0.91,high
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,11.9,0.58,0.66,0.07200000000000001,6.0,37.0,0.9992,0.56,low
1.5 - 2.0,2.74 - 3.00,10.0 - 10.5,12.5,0.46,0.63,0.071,6.0,15.0,0.9988,0.87,low
> 3.0,3.00 - 3.25,9.5 - 10.0,12.8,0.615,0.66,0.083,7.0,42.0,1.0022,0.73,high
> 3.0,3.25 - 3.50,11.5 - 12.0,10.0,0.42,0.5,0.107,7.0,21.0,0.9979,0.93,high
> 3.0,3.00 - 3.25,9.5 - 10.0,12.8,0.615,0.66,0.083,7.0,42.0,1.0022,0.73,high
2.5 - 3.0,3.00 - 3.25,<= 9.0,10.4,0.575,0.61,0.076,11.0,24.0,1.0,0.69,low
2.5 - 3.0,3.00 - 3.25,9.0 - 9.5,10.3,0.34,0.52,0.159,15.0,75.0,0.9998,0.64,low
2.0 - 2.5,3.00 - 3.25,11.5 - 12.0,9.4,0.27,0.53,0.07400000000000001,6.0,18.0,0.9962,1.13,high
2.0 - 2.5,3.50 - 3.75,9.5 - 10.0,6.9,0.765,0.02,0.063,35.0,63.0,0.9975,0.78,low
1.5 - 2.0,3.25 - 3.50,<= 9.0,7.9,0.24,0.4,0.055999999999999994,11.0,25.0,0.9967,0.87,high
1.5 - 2.0,3.25 - 3.50,10.5 - 11.0,9.1,0.28,0.48,0.067,26.0,46.0,0.9967,1.04,high
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,7.4,0.55,0.22,0.106,12.0,72.0,0.9959,0.63,low
> 3.0,3.00 - 3.25,10.5 - 11.0,14.0,0.41,0.63,0.08900000000000001,6.0,47.0,1.0014,0.81,high
> 3.0,3.00 - 3.25,11.5 - 12.0,11.5,0.54,0.71,0.124,6.0,15.0,0.9984,0.83,high
2.5 - 3.0,3.25 - 3.50,10.5 - 11.0,11.5,0.45,0.5,0.078,19.0,47.0,1.0003,1.11,high
2.0 - 2.5,3.00 - 3.25,11.5 - 12.0,9.4,0.27,0.53,0.07400000000000001,6.0,18.0,0.9962,1.13,high
> 3.0,3.00 - 3.25,> 12.0,11.4,0.625,0.66,0.08800000000000001,6.0,24.0,0.9988,0.99,high
2.0 - 2.5,3.25 - 3.50,10.5 - 11.0,8.3,0.42,0.38,0.094,24.0,60.0,0.9979,0.7,high
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,8.3,0.26,0.42,0.08,11.0,27.0,0.9974,0.8,high
2.5 - 3.0,3.00 - 3.25,9.5 - 10.0,13.7,0.415,0.68,0.085,17.0,43.0,1.0014,0.8,high
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,8.3,0.26,0.42,0.08,11.0,27.0,0.9974,0.8,high
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,8.3,0.26,0.42,0.08,11.0,27.0,0.9974,0.8,high
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,7.7,0.51,0.28,0.087,23.0,54.0,0.998,0.74,low
2.0 - 2.5,3.25 - 3.50,9.5 - 10.0,7.4,0.63,0.07,0.09,11.0,37.0,0.9979,0.76,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.8,0.54,0.26,0.08800000000000001,23.0,48.0,0.9981,0.74,high
1.5 - 2.0,3.25 - 3.50,9.5 - 10.0,8.3,0.66,0.15,0.079,17.0,42.0,0.9972,0.54,high
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.8,0.46,0.26,0.08800000000000001,23.0,53.0,0.9981,0.74,high
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,9.6,0.38,0.31,0.096,16.0,49.0,0.9982,0.7,high
<= 1.5,3.50 - 3.75,> 12.0,5.6,0.85,0.05,0.045,12.0,88.0,0.9924,0.82,high
2.5 - 3.0,3.00 - 3.25,9.5 - 10.0,13.7,0.415,0.68,0.085,17.0,43.0,1.0014,0.8,high
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,9.5,0.37,0.52,0.08199999999999999,6.0,26.0,0.998,0.51,low
1.5 - 2.0,3.00 - 3.25,9.0 - 9.5,8.4,0.665,0.61,0.11199999999999999,13.0,95.0,0.997,0.54,low
2.0 - 2.5,3.00 - 3.25,9.5 - 10.0,12.7,0.6,0.65,0.063,6.0,25.0,0.9997,0.57,low
> 3.0,3.00 - 3.25,> 12.0,12.0,0.37,0.76,0.066,7.0,38.0,1.0004,0.6,high
> 3.0,3.25 - 3.50,9.5 - 10.0,6.6,0.735,0.02,0.122,68.0,124.0,0.9994,0.53,low
2.5 - 3.0,3.00 - 3.25,10.5 - 11.0,11.5,0.59,0.59,0.087,13.0,49.0,0.9988,0.65,high
2.5 - 3.0,3.00 - 3.25,10.5 - 11.0,11.5,0.59,0.59,0.087,13.0,49.0,0.9988,0.65,high
2.0 - 2.5,3.00 - 3.25,9.0 - 9.5,8.7,0.765,0.22,0.064,9.0,42.0,0.9963,0.55,low
> 3.0,3.25 - 3.50,9.5 - 10.0,6.6,0.735,0.02,0.122,68.0,124.0,0.9994,0.53,low
1.5 - 2.0,3.25 - 3.50,10.5 - 11.0,7.7,0.26,0.3,0.059000000000000004,20.0,38.0,0.9949,0.47,high
2.5 - 3.0,3.00 - 3.25,10.0 - 10.5,12.2,0.48,0.54,0.085,19.0,64.0,1.0,0.61,high
2.5 - 3.0,3.00 - 3.25,10.0 - 10.5,11.4,0.6,0.49,0.085,10.0,41.0,0.9994,0.63,high
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,7.7,0.69,0.05,0.075,15.0,27.0,0.9974,0.61,low
<= 1.5,3.25 - 3.50,10.0 - 10.5,8.7,0.31,0.46,0.059000000000000004,11.0,25.0,0.9966,0.76,high
2.0 - 2.5,3.00 - 3.25,10.5 - 11.0,9.8,0.44,0.47,0.063,9.0,28.0,0.9981,0.65,high
2.5 - 3.0,3.00 - 3.25,10.5 - 11.0,12.0,0.39,0.66,0.09300000000000001,12.0,30.0,0.9996,0.63,high
> 3.0,3.00 - 3.25,11.0 - 11.5,10.4,0.34,0.58,0.174,6.0,16.0,0.997,0.7,high
> 3.0,3.00 - 3.25,9.5 - 10.0,12.5,0.46,0.49,0.07,26.0,49.0,0.9981,0.57,low
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,9.0,0.43,0.34,0.08,26.0,86.0,0.9987,0.62,high
2.0 - 2.5,3.25 - 3.50,9.0 - 9.5,9.1,0.45,0.35,0.08,23.0,78.0,0.9987,0.62,low
1.5 - 2.0,3.25 - 3.50,9.0 - 9.5,7.1,0.735,0.16,0.1,15.0,77.0,0.9966,0.64,low
> 3.0,3.25 - 3.50,11.5 - 12.0,9.9,0.4,0.53,0.09699999999999999,6.0,19.0,0.9986,0.82,high
2.5 - 3.0,3.25 - 3.50,9.0 - 9.5,8.8,0.52,0.34,0.087,24.0,122.0,0.9982,0.61,low
> 3.0,3.25 - 3.50,9.0 - 9.5,8.6,0.725,0.24,0.11699999999999999,31.0,134.0,1.0014,1.07,low
2.0 - 2.5,3.25 - 3.50,11.5 - 12.0,10.6,0.48,0.64,0.111,6.0,20.0,0.997,0.66,high
1.5 - 2.0,3.25 - 3.50,10.0 - 10.5,7.0,0.58,0.12,0.091,34.0,124.0,0.9956,0.48,low
1.5 - 2.0,3.00 - 3.25,10.0 - 10.5,11.9,0.38,0.51,0.121,7.0,20.0,0.9996,0.76,high
1.5 - 2.0,3.50 - 3.75,9.5 - 10.0,6.8,0.77,0.0,0.066,34.0,52.0,0.9976,0.68,low
2.0 - 2.5,3.25 - 3.50,11.5 - 12.0,9.5,0.56,0.33,0.08900000000000001,35.0,67.0,0.9972,0.73,high
2.0 - 2.5,3.50 - 3.75,> 12.0,6.6,0.84,0.03,0.059000000000000004,32.0,48.0,0.9952,0.56,high
1.5 - 2.0,3.25 - 3.50,10.5 - 11.0,7.7,0.96,0.2,0.047,15.0,60.0,0.9955,0.44,low
2.0 - 2.5,3.00 - 3.25,10.5 - 11.0,10.5,0.24,0.47,0.066,6.0,24.0,0.9978,0.9,high
1.5 - 2.0,3.25 - 3.50,10.5 - 11.0,7.7,0.96,0.2,0.047,15.0,60.0,0.9955,0.44,low
